,Address,Name,PriceLevel,Rating,Reviews,lat,lng,placeId
137,"45 Beach St, Boston",Bubor Cha Cha,1.0,3.7,255,42.35124709999999,-71.06085829999999,ChIJyxHyPHh644kRfpfAaZhknH8
138,"695 Washington St, Boston",Dumpling Cafe,1.0,4.0,914,42.3512494,-71.0631047,ChIJAxAcmXd644kRVJO136272ok
139,"86 Harrison Ave, Boston",Double Chin Modern Asian Restaurant,1.0,4.1,415,42.3507504,-71.0613492,ChIJ1-BYKXh644kRKMsSvOl1-yg
140,"1 Stuart St, Boston",Boston Kitchen Pizza,1.0,4.3,374,42.3510603,-71.0631071,ChIJ7V9fn3d644kRzotUsPPwfik
141,"99 Harrison Ave, Boston",Wai Wai,1.0,4.2,21,42.3507959,-71.0616039,ChIJcXPzKXh644kRL0NsTN0DHrA
142,"88 Harrison Ave, Boston",Ding Ho,,4.6,45,42.3506921,-71.06132649999999,ChIJARrOK3h644kRhmCkDg0Yspw
143,"50 Beach St, Boston",Quic Pic BBQ,1.0,3.7,105,42.3514809,-71.0607421,ChIJ8W6CPXh644kRK1KpNV6KWaQ
144,"88 Beach St, Boston",Hei La Moon Restaurant,1.0,4.0,1365,42.3510777,-71.0588951,ChIJ3eXQX3h644kReshTTfXl1Jo
145,"112 South St, Boston",Amateras Ramen,2.0,4.6,293,42.3509999,-71.05719119999999,ChIJowXjv3h644kRpUqoU6ud1dg
146,"63 Stuart St, Boston",Montien Thai Restaurant,2.0,4.2,523,42.351194,-71.064414,ChIJtVC2q3d644kRXSkDh4XNwG4
147,"232 Tremont St, Boston",Genki Ya - Boston,2.0,4.3,418,42.3512299,-71.06466189999999,ChIJb5LCVHZ644kRxRiTfd2DGKw
148,"2 Tyler St, Boston",Grassland BBQ,,4.3,4,42.35121849999999,-71.0603738,ChIJx9LVPnh644kR6VOBOi8hVWM
149,"62 Boylston St, Boston",Fin's Japanese Sushi & Grill,2.0,4.3,181,42.3522441,-71.0642744,ChIJYRlvynd644kRt6ehFB8ALkI
150,"1905, 23 Tyler St, Boston",China Gourmet Restaurant,1.0,4.2,24,42.3507606,-71.0609684,ChIJP4oZLnh644kRhEZnBXGkE64
151,"42 Beach St #101, Boston",Sakura Sunakku,,4.3,58,42.35154989999999,-71.0609413,ChIJsUK9Inh644kRhTcaXUZlZ_Q
152,"850 Grant Ave, San Francisco",Bow Hon Restaurant,1.0,3.1,68,37.7949655,-122.4062773,ChIJtWzBTYuAhYAR-mNghI61FkA
153,"772 Pacific Ave, San Francisco",New Asia Restaurant,2.0,3.6,357,37.796959,-122.4080569,ChIJyxaTdvOAhYARPmCkeN69K4g
154,"533 Jackson St, San Francisco",Raavi Indian Restaurant,,4.0,75,37.79611000000001,-122.404583,ChIJ4cbR0PSAhYARZAFVXvLfTxQ
155,"20 Hudson St, Boston",Station Bistro & KTV,,4.1,157,42.350397,-71.059962,ChIJoZipS3h644kRlZUsVhWmEgM
156,"821 Washington St, Boston",Wisteria Restaurant and Bar,,3.5,4,42.3489231,-71.0642206,ChIJaemvLnd644kRmAPmPGHQmE8
157,"137 Stuart St, Boston",The Halal Guys,1.0,4.3,903,42.3513017,-71.0657495,ChIJgb0s9XZ644kRcaP3BevEj8E
158,"Tufts Medical Center, 800 Washington St, Boston",Au Bon Pain,2.0,3.7,39,42.3494722,-71.06315359999999,ChIJU8OLP3d644kR-agVwzwX7i4
159,"66 Harrison Ave, Boston",163 Vietnamese Sandwich,1.0,4.2,64,42.3511639,-71.0610014,ChIJ12qIJHh644kRDidUhav8KHw
160,"177 Harrison Ave, Boston",Jook Sing Cafe,1.0,4.1,60,42.3491685,-71.0623873,ChIJzW5HXHd644kRMz9Ge5tP27c
161,"86 Bedford St, Boston",Gene's Chinese Flatbread Cafe,1.0,4.6,467,42.353409,-71.059624,ChIJ_xpxkYJw44kRBp5JjOO4hiA
162,"228 Tremont St, Boston",4th Wall Restaurant & Bar,,4.3,73,42.351343,-71.0646221,ChIJa_yJf5R744kRy_UhozQrWOQ
163,"226 Tremont St, Boston",Maria's Taqueria,1.0,4.3,263,42.351445,-71.06466800000001,ChIJE_K4rHd644kRqGM1bzPVrkg
164,"224 Tremont St, Boston",New York Pizza,1.0,4.0,260,42.3514513,-71.064616,ChIJET7crHd644kRJYDD5yile2w
165,,Abby Lane,2.0,4.2,375,42.3504871,-71.06527109999999,ChIJkybobRR644kRtL9keGTM5fQ
166,,RUKA,3.0,4.5,559,42.3544534,-71.06176099999999,ChIJ6yS40oJw44kRuI5-v3is2yg
167,,Yvonne's,3.0,4.6,1168,42.3555005,-71.0614361,ChIJWceaK4Nw44kR3HDuPVX0acU
168,,Kings Dining & Entertainment,2.0,4.0,713,42.3469888,-71.085711,ChIJNRQDqRp644kRisiIyUr2Wc8
169,,Barcelona Wine Bar,2.0,4.6,1065,42.3445885,-71.0709941,ChIJgZ6pgG1644kRLYzhg8GwJbE
170,,Dumpling King,,4.4,18,42.35154989999999,-71.0609413,ChIJVdWZInh644kR8Ov37p1adRE
171,"636 Broadway, San Francisco",My Canh,1.0,4.2,150,37.7979329,-122.4075868,ChIJqyoCj_OAhYARb30FLB3tGZ8
172,"1429 Stockton St, San Francisco",Firenze By Night,3.0,4.5,344,37.7989556,-122.4091282,ChIJx1MA2fOAhYARzY_KyvD4bA0
173,"671 Broadway, San Francisco",Vip Coffee & Cake Shop,,3.8,114,37.7975291,-122.408079,ChIJq6o-mvOAhYAReba01Ti8B5s
174,"242 Columbus Ave, San Francisco",Tosca Cafe,3.0,4.5,395,37.7975582,-122.4059801,ChIJ2xNJivSAhYARhivCKSIaZCY
175,"733 Bush St, San Francisco",Sushi Toni,2.0,4.3,335,37.7899633,-122.4094361,ChIJUQVBLoyAhYARJFEwb5F0cjE
176,"92 Bedford St, Boston",SA PA,1.0,4.1,142,42.35340310000001,-71.0594594,ChIJyY97joJw44kRHSq_oZJGVJ4
177,"129 South St, Boston",Les Zygomates Wine Bar & Bistro,3.0,4.4,364,42.351207,-71.05752100000001,ChIJjSlwlHh644kRsCeCml9pVUM
178,"230 Tremont St, Boston",Subway,1.0,2.8,30,42.35130400000001,-71.0647188,ChIJb8-kVHZ644kReEyiujufiq8
179,"179 Massachusetts Ave, Boston",Dumpling Palace,1.0,3.7,428,42.3457163,-71.0873414,ChIJWVOz9hp644kRXDWojrzS-Pk
